订单号,下单日期,商品ID,商品名称,类目,销售渠道,城市,单价,数量,实付金额,成本,支付方式
SO20250037,2025-02-04,P0022,保温杯,家居生活,抖音小店,上海,657.34,3,1774.82,637.38,支付宝
SO20250038,2025-06-04,P0024,四件套,家居生活,京东自营,成都,451.51,3,1354.53,165.27,微信支付
SO20250039,2025-05-06,P0022,保温杯,家居生活,抖音小店,北京,514.71,3,1544.13,637.38,支付宝
SO20250040,2025-01-01,P0021,记忆枕,家居生活,抖音小店,广州,350.39,3,946.05,731.07,银行卡
SO20250041,2025-05-24,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,上海,598.16,5,2542.18,1031.2,支付宝
SO20250042,2025-04-05,P0023,香薰蜡烛,家居生活,线下门店,苏州,725.06,5,3262.77,543.35,微信支付
SO20250043,2025-01-11,P0014,洗发水,美妆个护,抖音小店,深圳,119.41,3,358.23,202.98,微信支付
SO20250044,2025-06-08,P0022,保温杯,家居生活,京东自营,深圳,100.18,5,425.77,1062.3,微信支付
SO20250045,2025-03-27,P0006,纯棉 T 恤,服饰鞋包,拼多多,深圳,707.5,1,672.12,206.24,银行卡
SO20250046,2025-01-10,P0006,纯棉 T 恤,服饰鞋包,拼多多,深圳,634.15,1,539.03,206.24,微信支付
SO20250047,2025-01-07,P0015,面膜,美妆个护,京东自营,武汉,292.73,2,556.19,396.94,银行卡
SO20250048,2025-06-14,P0009,牛仔裤,服饰鞋包,线下门店,武汉,694.2,3,2082.6,397.08,银行卡
SO20250049,2025-05-29,P0001,无线蓝牙耳机,数码家电,抖音小店,北京,109.97,3,313.41,586.29,支付宝
SO20250050,2025-06-05,P0020,零食大礼包,食品生鲜,线下门店,上海,358.96,3,915.35,35.64,花呗
SO20250051,2025-01-01,P0019,水果拼盘,食品生鲜,线下门店,苏州,168.26,1,143.02,244.73,微信支付
SO20250052,2025-03-22,P0012,防晒霜,美妆个护,天猫旗舰店,杭州,356.41,3,1069.23,469.65,银行卡
SO20250053,2025-05-22,P0022,保温杯,家居生活,京东自营,深圳,338.55,4,1354.2,849.84,花呗
SO20250054,2025-05-26,P0022,保温杯,家居生活,抖音小店,武汉,753.48,2,1506.96,424.92,支付宝
SO20250055,2025-06-05,P0010,羽绒服,服饰鞋包,抖音小店,南京,243.79,4,975.16,74.56,花呗
SO20250056,2025-02-13,P0015,面膜,美妆个护,天猫旗舰店,杭州,546.99,5,2324.71,992.35,银行卡
SO20250057,2025-02-27,P0003,便携充电宝,数码家电,京东自营,广州,658.37,2,1316.74,179.52,支付宝
SO20250058,2025-01-19,P0002,智能手表,数码家电,拼多多,武汉,210.98,4,843.92,69.0,微信支付
SO20250059,2025-03-04,P0023,香薰蜡烛,家居生活,京东自营,北京,563.16,4,1914.74,434.68,支付宝
SO20250060,2025-04-29,P0025,收纳箱,家居生活,天猫旗舰店,苏州,351.61,2,703.22,575.18,微信支付
SO20250061,2025-05-24,P0004,4K 显示器,数码家电,线下门店,成都,376.04,4,1504.16,298.92,花呗
SO20250062,2025-05-21,P0020,零食大礼包,食品生鲜,拼多多,广州,655.71,5,2786.77,59.4,花呗
SO20250063,2025-05-14,P0015,面膜,美妆个护,拼多多,深圳,222.17,2,444.34,396.94,银行卡
SO20250064,2025-03-11,P0015,面膜,美妆个护,抖音小店,成都,80.44,3,229.25,595.41,支付宝
SO20250065,2025-06-30,P0005,机械键盘,数码家电,京东自营,上海,137.65,4,523.07,894.32,花呗
SO20250066,2025-01-16,P0014,洗发水,美妆个护,京东自营,武汉,278.09,4,945.51,270.64,花呗
SO20250067,2025-04-08,P0025,收纳箱,家居生活,拼多多,北京,475.58,1,475.58,287.59,银行卡
SO20250068,2025-05-20,P0010,羽绒服,服饰鞋包,线下门店,深圳,607.71,4,2430.84,74.56,花呗
SO20250069,2025-04-10,P0008,双肩背包,服饰鞋包,抖音小店,武汉,232.89,4,838.4,140.84,微信支付
SO20250070,2025-01-07,P0015,面膜,美妆个护,拼多多,重庆,737.24,5,3686.2,992.35,支付宝
SO20250071,2025-02-16,P0003,便携充电宝,数码家电,天猫旗舰店,杭州,521.34,2,886.28,179.52,花呗
SO20250072,2025-04-08,P0011,保湿面霜,美妆个护,抖音小店,武汉,185.1,3,555.3,220.23,银行卡
SO20250073,2025-03-31,P0003,便携充电宝,数码家电,京东自营,上海,386.84,5,1740.78,448.8,支付宝
SO20250074,2025-01-06,P0025,收纳箱,家居生活,线下门店,广州,44.2,2,83.98,575.18,微信支付
SO20250075,2025-02-25,P0005,机械键盘,数码家电,拼多多,杭州,389.38,1,389.38,223.58,银行卡
SO20250076,2025-03-21,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,重庆,492.6,1,467.97,206.24,支付宝
SO20250077,2025-02-20,P0010,羽绒服,服饰鞋包,天猫旗舰店,重庆,469.12,4,1595.01,74.56,微信支付
SO20250078,2025-01-31,P0004,4K 显示器,数码家电,线下门店,北京,563.81,3,1691.43,224.19,银行卡
SO20250079,2025-05-10,P0018,有机牛奶,食品生鲜,抖音小店,北京,354.13,3,956.15,542.67,花呗
SO20250080,2025-02-09,P0016,坚果礼盒,食品生鲜,拼多多,广州,102.32,3,260.92,504.09,银行卡
SO20250081,2025-04-30,P0020,零食大礼包,食品生鲜,拼多多,重庆,650.4,5,2764.2,59.4,银行卡
SO20250082,2025-04-26,P0011,保湿面霜,美妆个护,京东自营,南京,684.34,1,684.34,73.41,花呗
SO20250083,2025-05-05,P0011,保湿面霜,美妆个护,京东自营,成都,42.39,3,120.81,220.23,银行卡
SO20250084,2025-05-23,P0011,保湿面霜,美妆个护,天猫旗舰店,苏州,238.13,5,1190.65,367.05,微信支付
SO20250085,2025-05-23,P0003,便携充电宝,数码家电,京东自营,南京,208.26,4,708.08,359.04,花呗
SO20250086,2025-02-26,P0015,面膜,美妆个护,拼多多,深圳,638.49,1,638.49,198.47,银行卡
SO20250087,2025-05-16,P0022,保温杯,家居生活,抖音小店,武汉,473.61,4,1894.44,849.84,银行卡
SO20250088,2025-03-06,P0012,防晒霜,美妆个护,京东自营,上海,568.23,3,1704.69,469.65,微信支付
SO20250089,2025-02-19,P0011,保湿面霜,美妆个护,京东自营,南京,113.25,5,537.94,367.05,银行卡
SO20250090,2025-03-14,P0024,四件套,家居生活,天猫旗舰店,深圳,479.88,5,2399.4,275.45,银行卡
SO20250091,2025-05-17,P0008,双肩背包,服饰鞋包,京东自营,杭州,301.49,3,814.02,105.63,支付宝
SO20250092,2025-01-27,P0002,智能手表,数码家电,天猫旗舰店,重庆,451.62,2,767.75,34.5,银行卡
SO20250093,2025-01-14,P0016,坚果礼盒,食品生鲜,抖音小店,南京,393.4,3,1121.19,504.09,支付宝
SO20250094,2025-06-11,P0003,便携充电宝,数码家电,天猫旗舰店,广州,332.55,1,332.55,89.76,微信支付
SO20250095,2025-01-31,P0019,水果拼盘,食品生鲜,线下门店,武汉,760.32,1,722.3,244.73,微信支付
SO20250096,2025-03-18,P0025,收纳箱,家居生活,线下门店,武汉,427.61,4,1453.87,1150.36,银行卡
SO20250097,2025-02-23,P0019,水果拼盘,食品生鲜,京东自营,杭州,504.4,5,2269.8,1223.65,支付宝
SO20250098,2025-02-10,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,武汉,207.09,5,931.91,1031.2,花呗
SO20250099,2025-03-01,P0023,香薰蜡烛,家居生活,抖音小店,杭州,483.17,3,1304.56,326.01,花呗
SO20250100,2025-06-19,P0003,便携充电宝,数码家电,京东自营,武汉,556.16,3,1668.48,269.28,支付宝
SO20250101,2025-02-06,P0018,有机牛奶,食品生鲜,天猫旗舰店,北京,195.35,2,390.7,361.78,微信支付
SO20250102,2025-04-23,P0010,羽绒服,服饰鞋包,天猫旗舰店,南京,484.13,5,2420.65,93.2,银行卡
SO20250103,2025-05-19,P0023,香薰蜡烛,家居生活,拼多多,南京,333.96,3,1001.88,326.01,支付宝
SO20250104,2025-06-04,P0020,零食大礼包,食品生鲜,抖音小店,北京,51.09,4,204.36,47.52,支付宝
SO20250105,2025-01-06,P0008,双肩背包,服饰鞋包,抖音小店,重庆,770.29,5,3851.45,176.05,支付宝
SO20250106,2025-06-16,P0025,收纳箱,家居生活,拼多多,杭州,609.89,4,2439.56,1150.36,微信支付
SO20250107,2025-05-01,P0019,水果拼盘,食品生鲜,抖音小店,武汉,359.99,4,1295.96,978.92,银行卡
SO20250108,2025-04-16,P0011,保湿面霜,美妆个护,拼多多,杭州,542.7,2,1085.4,146.82,花呗
SO20250109,2025-03-22,P0025,收纳箱,家居生活,抖音小店,成都,449.08,4,1616.69,1150.36,支付宝
SO20250110,2025-06-18,P0025,收纳箱,家居生活,线下门店,南京,335.26,5,1508.67,1437.95,花呗
SO20250111,2025-05-08,P0002,智能手表,数码家电,拼多多,北京,166.31,3,498.93,51.75,微信支付
SO20250112,2025-06-28,P0009,牛仔裤,服饰鞋包,拼多多,上海,448.39,3,1143.39,397.08,支付宝
SO20250113,2025-03-21,P0021,记忆枕,家居生活,线下门店,北京,494.92,2,940.35,487.38,花呗
SO20250114,2025-01-31,P0003,便携充电宝,数码家电,京东自营,南京,195.27,1,165.98,89.76,银行卡
SO20250115,2025-05-01,P0017,咖啡豆,食品生鲜,京东自营,南京,570.22,4,1938.75,295.72,微信支付
SO20250116,2025-02-04,P0013,电动牙刷,美妆个护,天猫旗舰店,杭州,168.68,5,843.4,88.5,花呗
SO20250117,2025-01-01,P0011,保湿面霜,美妆个护,抖音小店,杭州,748.71,5,3743.55,367.05,花呗
SO20250118,2025-03-27,P0005,机械键盘,数码家电,线下门店,苏州,368.31,4,1473.24,894.32,花呗
SO20250119,2025-05-27,P0015,面膜,美妆个护,拼多多,深圳,747.62,2,1420.48,396.94,花呗
SO20250120,2025-04-09,P0002,智能手表,数码家电,京东自营,南京,268.18,4,911.81,69.0,支付宝
SO20250121,2025-01-26,P0005,机械键盘,数码家电,拼多多,上海,411.79,5,2058.95,1117.9,花呗
SO20250122,2025-01-20,P0001,无线蓝牙耳机,数码家电,拼多多,杭州,583.51,4,2217.34,781.72,银行卡
SO20250123,2025-06-22,P0020,零食大礼包,食品生鲜,线下门店,武汉,560.31,1,560.31,11.88,银行卡
SO20250124,2025-01-10,P0021,记忆枕,家居生活,线下门店,上海,580.6,4,2322.4,974.76,微信支付
SO20250125,2025-01-24,P0021,记忆枕,家居生活,拼多多,上海,553.83,3,1578.42,731.07,支付宝
SO20250126,2025-01-12,P0015,面膜,美妆个护,抖音小店,北京,149.76,3,404.35,595.41,银行卡
SO20250127,2025-05-16,P0012,防晒霜,美妆个护,拼多多,重庆,312.38,2,593.52,313.1,微信支付
SO20250128,2025-06-08,P0006,纯棉 T 恤,服饰鞋包,京东自营,南京,156.55,5,665.34,1031.2,微信支付
SO20250129,2025-03-07,P0008,双肩背包,服饰鞋包,天猫旗舰店,南京,379.7,3,968.23,105.63,银行卡
SO20250130,2025-03-30,P0022,保温杯,家居生活,线下门店,杭州,446.35,1,379.4,212.46,花呗
SO20250131,2025-04-09,P0023,香薰蜡烛,家居生活,拼多多,上海,215.08,3,612.98,326.01,微信支付
SO20250132,2025-06-29,P0013,电动牙刷,美妆个护,抖音小店,北京,466.1,5,2330.5,88.5,花呗
SO20250133,2025-05-08,P0009,牛仔裤,服饰鞋包,抖音小店,深圳,26.32,1,26.32,132.36,银行卡
SO20250134,2025-06-23,P0008,双肩背包,服饰鞋包,京东自营,上海,516.56,5,2582.8,176.05,支付宝
SO20250135,2025-04-04,P0010,羽绒服,服饰鞋包,京东自营,上海,635.12,1,635.12,18.64,银行卡
SO20250136,2025-02-03,P0011,保湿面霜,美妆个护,线下门店,成都,603.04,2,1145.78,146.82,银行卡
SO20250137,2025-03-28,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,南京,220.44,4,881.76,824.96,支付宝
SO20250138,2025-05-23,P0005,机械键盘,数码家电,抖音小店,上海,608.24,2,1034.01,447.16,花呗
SO20250139,2025-04-05,P0001,无线蓝牙耳机,数码家电,抖音小店,重庆,226.28,1,192.34,195.43,花呗
SO20250140,2025-05-01,P0021,记忆枕,家居生活,天猫旗舰店,重庆,753.43,1,715.76,243.69,银行卡
SO20250141,2025-06-29,P0020,零食大礼包,食品生鲜,抖音小店,武汉,192.67,1,163.77,11.88,支付宝
SO20250142,2025-05-07,P0005,机械键盘,数码家电,天猫旗舰店,上海,55.37,1,55.37,223.58,微信支付
SO20250143,2025-06-21,P0018,有机牛奶,食品生鲜,线下门店,武汉,125.82,4,503.28,723.56,微信支付
SO20250144,2025-04-15,P0014,洗发水,美妆个护,抖音小店,北京,530.84,4,2123.36,270.64,银行卡
SO20250145,2025-01-26,P0007,休闲运动鞋,服饰鞋包,抖音小店,苏州,365.84,2,731.68,537.46,银行卡
SO20250146,2025-04-27,P0002,智能手表,数码家电,天猫旗舰店,深圳,330.55,2,594.99,34.5,支付宝
SO20250147,2025-05-25,P0002,智能手表,数码家电,京东自营,上海,633.7,2,1204.03,34.5,微信支付
SO20250148,2025-02-07,P0019,水果拼盘,食品生鲜,线下门店,北京,188.44,2,376.88,489.46,银行卡
SO20250149,2025-02-14,P0005,机械键盘,数码家电,天猫旗舰店,北京,790.27,5,3951.35,1117.9,微信支付
SO20250150,2025-03-24,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,广州,299.43,2,598.86,390.86,银行卡
SO20250151,2025-01-30,P0002,智能手表,数码家电,天猫旗舰店,南京,118.87,4,475.48,69.0,花呗
SO20250152,2025-04-26,P0025,收纳箱,家居生活,线下门店,深圳,302.39,5,1360.75,1437.95,支付宝
SO20250153,2025-04-28,P0024,四件套,家居生活,天猫旗舰店,北京,630.92,5,3154.6,275.45,花呗
SO20250154,2025-04-24,P0013,电动牙刷,美妆个护,天猫旗舰店,上海,352.49,1,299.62,17.7,银行卡
SO20250155,2025-06-09,P0020,零食大礼包,食品生鲜,线下门店,苏州,135.7,2,271.4,23.76,银行卡
SO20250156,2025-04-27,P0013,电动牙刷,美妆个护,线下门店,重庆,795.81,5,3979.05,88.5,花呗
SO20250157,2025-02-25,P0004,4K 显示器,数码家电,拼多多,南京,638.61,1,638.61,74.73,微信支付
SO20250158,2025-04-17,P0014,洗发水,美妆个护,天猫旗舰店,成都,284.37,4,966.86,270.64,花呗
SO20250159,2025-06-25,P0011,保湿面霜,美妆个护,拼多多,上海,538.78,3,1535.52,220.23,支付宝
SO20250160,2025-02-03,P0003,便携充电宝,数码家电,线下门店,北京,92.72,1,92.72,89.76,银行卡
SO20250161,2025-01-14,P0022,保温杯,家居生活,抖音小店,重庆,115.34,3,294.12,637.38,银行卡
SO20250162,2025-02-09,P0012,防晒霜,美妆个护,拼多多,深圳,100.81,5,478.85,782.75,支付宝
SO20250163,2025-03-13,P0012,防晒霜,美妆个护,线下门店,深圳,679.39,3,1834.35,469.65,花呗
SO20250164,2025-06-22,P0018,有机牛奶,食品生鲜,线下门店,北京,780.15,5,3900.75,904.45,银行卡
SO20250165,2025-03-31,P0001,无线蓝牙耳机,数码家电,天猫旗舰店,广州,160.72,3,482.16,586.29,微信支付
SO20250166,2025-06-12,P0019,水果拼盘,食品生鲜,天猫旗舰店,上海,532.73,1,506.09,244.73,微信支付
SO20250167,2025-04-05,P0013,电动牙刷,美妆个护,抖音小店,成都,347.47,3,990.29,53.1,支付宝
SO20250168,2025-06-22,P0002,智能手表,数码家电,天猫旗舰店,杭州,141.35,5,636.08,86.25,花呗
SO20250169,2025-04-17,P0022,保温杯,家居生活,抖音小店,深圳,350.73,5,1490.6,1062.3,支付宝
SO20250170,2025-05-05,P0012,防晒霜,美妆个护,线下门店,杭州,355.33,3,1065.99,469.65,支付宝
SO20250171,2025-01-02,P0008,双肩背包,服饰鞋包,京东自营,杭州,328.31,5,1477.39,176.05,微信支付
SO20250172,2025-03-25,P0025,收纳箱,家居生活,天猫旗舰店,北京,127.04,3,381.12,862.77,花呗
SO20250173,2025-05-17,P0024,四件套,家居生活,京东自营,苏州,355.91,2,605.05,110.18,银行卡
SO20250174,2025-01-05,P0003,便携充电宝,数码家电,拼多多,上海,329.72,1,280.26,89.76,银行卡
SO20250175,2025-03-16,P0019,水果拼盘,食品生鲜,天猫旗舰店,武汉,354.84,4,1206.46,978.92,支付宝
SO20250176,2025-06-26,P0011,保湿面霜,美妆个护,抖音小店,上海,154.06,5,654.75,367.05,花呗
SO20250177,2025-05-15,P0004,4K 显示器,数码家电,天猫旗舰店,武汉,209.79,5,891.61,373.65,银行卡
SO20250178,2025-01-20,P0024,四件套,家居生活,线下门店,上海,284.82,3,811.74,165.27,微信支付
SO20250179,2025-01-27,P0025,收纳箱,家居生活,京东自营,杭州,292.51,2,555.77,575.18,微信支付
SO20250180,2025-06-10,P0006,纯棉 T 恤,服饰鞋包,拼多多,南京,489.87,1,465.38,206.24,花呗
SO20250181,2025-03-24,P0022,保温杯,家居生活,抖音小店,广州,740.84,5,3704.2,1062.3,花呗
SO20250182,2025-06-01,P0003,便携充电宝,数码家电,天猫旗舰店,成都,385.76,3,1157.28,269.28,支付宝
SO20250183,2025-04-05,P0010,羽绒服,服饰鞋包,抖音小店,上海,380.16,1,342.14,18.64,支付宝
SO20250184,2025-05-29,P0020,零食大礼包,食品生鲜,线下门店,北京,483.38,4,1643.49,47.52,花呗
SO20250185,2025-05-02,P0019,水果拼盘,食品生鲜,线下门店,广州,528.43,3,1585.29,734.19,支付宝
SO20250186,2025-05-10,P0015,面膜,美妆个护,京东自营,北京,100.73,3,271.97,595.41,微信支付
SO20250187,2025-05-14,P0023,香薰蜡烛,家居生活,线下门店,广州,361.45,4,1445.8,434.68,银行卡
SO20250188,2025-03-28,P0012,防晒霜,美妆个护,线下门店,北京,735.99,4,2502.37,626.2,银行卡
SO20250189,2025-03-14,P0003,便携充电宝,数码家电,抖音小店,重庆,277.16,5,1177.93,448.8,微信支付
SO20250190,2025-03-21,P0011,保湿面霜,美妆个护,拼多多,广州,83.57,2,167.14,146.82,支付宝
SO20250191,2025-06-21,P0010,羽绒服,服饰鞋包,线下门店,上海,455.96,3,1299.49,55.92,花呗
SO20250192,2025-02-16,P0017,咖啡豆,食品生鲜,京东自营,成都,302.23,3,906.69,221.79,花呗
SO20250193,2025-01-20,P0007,休闲运动鞋,服饰鞋包,抖音小店,上海,196.7,2,373.73,537.46,支付宝
SO20250194,2025-06-02,P0022,保温杯,家居生活,拼多多,广州,282.68,5,1342.73,1062.3,微信支付
SO20250195,2025-04-23,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,武汉,668.45,5,3175.14,1031.2,银行卡
SO20250196,2025-03-14,P0022,保温杯,家居生活,拼多多,深圳,581.28,4,2325.12,849.84,微信支付
SO20250197,2025-04-05,P0010,羽绒服,服饰鞋包,线下门店,南京,773.17,4,2938.05,74.56,花呗
SO20250198,2025-05-16,P0025,收纳箱,家居生活,拼多多,广州,239.78,4,959.12,1150.36,微信支付
SO20250199,2025-06-14,P0020,零食大礼包,食品生鲜,拼多多,成都,127.95,3,345.47,35.64,支付宝
SO20250200,2025-01-22,P0023,香薰蜡烛,家居生活,京东自营,杭州,679.8,1,679.8,108.67,花呗
SO20250201,2025-02-26,P0017,咖啡豆,食品生鲜,拼多多,成都,134.93,4,485.75,295.72,支付宝
SO20250202,2025-03-02,P0014,洗发水,美妆个护,拼多多,上海,61.54,5,307.7,338.3,银行卡
SO20250203,2025-02-07,P0008,双肩背包,服饰鞋包,京东自营,北京,41.99,1,41.99,35.21,银行卡
SO20250204,2025-04-25,P0016,坚果礼盒,食品生鲜,线下门店,北京,562.94,2,957.0,336.06,支付宝
SO20250205,2025-06-05,P0001,无线蓝牙耳机,数码家电,线下门店,武汉,219.62,2,439.24,390.86,支付宝
SO20250206,2025-01-13,P0025,收纳箱,家居生活,京东自营,武汉,244.72,3,660.74,862.77,花呗
SO20250207,2025-05-18,P0003,便携充电宝,数码家电,天猫旗舰店,苏州,106.47,4,425.88,359.04,微信支付
SO20250208,2025-06-07,P0023,香薰蜡烛,家居生活,抖音小店,深圳,131.99,4,475.16,434.68,花呗
SO20250209,2025-04-03,P0006,纯棉 T 恤,服饰鞋包,天猫旗舰店,苏州,538.21,1,538.21,206.24,支付宝
SO20250210,2025-04-06,P0013,电动牙刷,美妆个护,抖音小店,北京,701.2,1,596.02,17.7,银行卡
SO20250211,2025-03-27,P0003,便携充电宝,数码家电,京东自营,北京,288.95,1,288.95,89.76,银行卡
SO20250212,2025-06-28,P0018,有机牛奶,食品生鲜,拼多多,广州,284.07,2,482.92,361.78,微信支付
SO20250213,2025-03-17,P0003,便携充电宝,数码家电,京东自营,北京,578.52,4,2082.67,359.04,微信支付
SO20250214,2025-04-12,P0002,智能手表,数码家电,线下门店,南京,266.16,3,798.48,51.75,银行卡
SO20250215,2025-04-02,P0002,智能手表,数码家电,天猫旗舰店,成都,607.57,2,1215.14,34.5,银行卡
SO20250216,2025-04-23,P0004,4K 显示器,数码家电,拼多多,成都,643.49,4,2187.87,298.92,微信支付
SO20250217,2025-03-10,P0016,坚果礼盒,食品生鲜,天猫旗舰店,武汉,559.81,3,1679.43,504.09,支付宝
SO20250218,2025-03-17,P0014,洗发水,美妆个护,抖音小店,上海,489.91,2,979.82,135.32,支付宝
SO20250219,2025-06-04,P0011,保湿面霜,美妆个护,拼多多,广州,535.52,3,1365.58,220.23,花呗
SO20250220,2025-04-22,P0012,防晒霜,美妆个护,抖音小店,北京,368.76,3,1106.28,469.65,支付宝
SO20250221,2025-06-23,P0022,保温杯,家居生活,京东自营,北京,517.26,3,1551.78,637.38,微信支付
SO20250222,2025-02-02,P0020,零食大礼包,食品生鲜,天猫旗舰店,深圳,548.91,4,1976.08,47.52,银行卡
SO20250223,2025-06-04,P0012,防晒霜,美妆个护,京东自营,南京,318.63,5,1433.84,782.75,银行卡
SO20250224,2025-02-05,P0012,防晒霜,美妆个护,线下门店,成都,366.27,1,366.27,156.55,花呗
SO20250225,2025-01-07,P0011,保湿面霜,美妆个护,京东自营,南京,526.66,2,947.99,146.82,花呗
SO20250226,2025-02-24,P0018,有机牛奶,食品生鲜,线下门店,杭州,111.85,3,285.22,542.67,花呗
SO20250227,2025-02-14,P0007,休闲运动鞋,服饰鞋包,拼多多,上海,115.66,1,98.31,268.73,银行卡
SO20250228,2025-05-19,P0022,保温杯,家居生活,抖音小店,杭州,290.99,1,290.99,212.46,微信支付
SO20250229,2025-05-11,P0023,香薰蜡烛,家居生活,京东自营,上海,573.46,2,1146.92,217.34,微信支付
SO20250230,2025-04-03,P0005,机械键盘,数码家电,线下门店,重庆,204.65,4,736.74,894.32,银行卡
SO20250231,2025-06-06,P0015,面膜,美妆个护,天猫旗舰店,上海,646.86,5,3072.59,992.35,银行卡
SO20250232,2025-04-16,P0013,电动牙刷,美妆个护,拼多多,重庆,799.68,4,3198.72,70.8,支付宝
SO20250233,2025-04-30,P0005,机械键盘,数码家电,线下门店,成都,778.46,1,661.69,223.58,微信支付
SO20250234,2025-02-03,P0025,收纳箱,家居生活,拼多多,苏州,450.02,5,2137.59,1437.95,支付宝
SO20250235,2025-02-11,P0004,4K 显示器,数码家电,抖音小店,深圳,424.12,3,1208.74,224.19,银行卡
SO20250236,2025-02-20,P0017,咖啡豆,食品生鲜,线下门店,杭州,718.04,1,718.04,73.93,微信支付
SO20250237,2025-05-09,P0021,记忆枕,家居生活,京东自营,重庆,256.2,5,1152.9,1218.45,微信支付
