客户ID,昵称,城市,注册日期,累计消费,订单数,最近购买日期,会员等级
C1036,用户45311,南京,2025-03-02,19172.61,22,2025-04-04,银卡会员
C1037,用户65567,深圳,2025-05-08,8410.9,49,2025-04-06,金卡会员
C1038,用户46651,南京,2025-04-13,3638.79,9,2025-05-28,银卡会员
C1039,用户45382,深圳,2025-01-26,11129.03,55,2025-04-08,银卡会员
C1040,用户29601,南京,2025-02-07,16123.08,12,2025-04-18,钻石会员
C1041,用户92660,苏州,2025-02-04,10702.95,21,2025-05-05,金卡会员
C1042,用户83680,重庆,2025-03-06,1001.8,7,2025-06-26,银卡会员
C1043,用户38241,杭州,2025-01-16,9556.96,41,2025-01-25,钻石会员
C1044,用户44048,成都,2025-03-27,7238.12,36,2025-03-07,金卡会员
C1045,用户63970,上海,2025-01-06,7054.26,44,2025-06-05,银卡会员
C1046,用户85483,苏州,2025-05-28,3532.05,50,2025-03-14,金卡会员
C1047,用户98236,苏州,2025-03-25,9775.5,48,2025-04-25,普通会员
C1048,用户90434,杭州,2025-04-08,9301.85,10,2025-02-12,金卡会员
C1049,用户92742,重庆,2025-04-18,11454.17,55,2025-01-19,普通会员
C1050,用户55039,深圳,2025-02-11,6303.97,42,2025-03-16,金卡会员
C1051,用户94494,武汉,2025-06-04,5461.4,29,2025-04-03,钻石会员
C1052,用户31930,广州,2025-04-16,17091.53,9,2025-03-02,金卡会员
C1053,用户20494,深圳,2025-06-29,3379.86,7,2025-01-25,普通会员
C1054,用户81884,北京,2025-05-02,575.98,26,2025-05-15,普通会员
C1055,用户44400,重庆,2025-01-27,3147.72,42,2025-04-10,金卡会员
C1056,用户42426,杭州,2025-02-28,8891.05,9,2025-02-03,银卡会员
C1057,用户14607,成都,2025-01-08,17214.36,21,2025-05-02,钻石会员
C1058,用户45705,苏州,2025-05-19,8924.66,45,2025-05-19,银卡会员
C1059,用户88326,南京,2025-06-01,12639.4,41,2025-05-25,钻石会员
C1060,用户93858,苏州,2025-05-15,6227.74,23,2025-05-04,银卡会员
C1061,用户67915,杭州,2025-01-23,7347.38,17,2025-02-09,金卡会员
C1062,用户10012,苏州,2025-01-03,16316.83,55,2025-02-04,金卡会员
C1063,用户71498,苏州,2025-03-15,215.93,60,2025-05-06,钻石会员
C1064,用户11197,武汉,2025-03-18,15969.4,39,2025-03-01,普通会员
C1065,用户58974,深圳,2025-05-21,8264.13,36,2025-04-22,钻石会员
C1066,用户31400,武汉,2025-03-05,16577.12,15,2025-03-09,普通会员
C1067,用户91962,深圳,2025-04-19,10356.37,52,2025-06-06,金卡会员
C1068,用户94994,苏州,2025-03-14,16185.73,27,2025-02-18,普通会员
C1069,用户27907,杭州,2025-02-16,2251.61,30,2025-06-08,钻石会员
C1070,用户91625,南京,2025-03-11,3796.4,2,2025-02-08,普通会员
C1071,用户12900,广州,2025-05-17,19448.04,19,2025-03-10,银卡会员
C1072,用户11075,深圳,2025-04-23,1849.43,1,2025-05-07,银卡会员
C1073,用户65082,杭州,2025-03-29,15725.22,32,2025-04-06,钻石会员
C1074,用户14159,成都,2025-06-28,1650.45,49,2025-02-07,普通会员
C1075,用户61435,上海,2025-03-10,10886.68,12,2025-02-19,金卡会员
C1076,用户11653,上海,2025-04-08,19493.24,46,2025-03-05,钻石会员
C1077,用户42396,北京,2025-04-24,4023.64,48,2025-01-25,银卡会员
C1078,用户61003,杭州,2025-05-02,18727.49,11,2025-06-11,普通会员
C1079,用户78278,上海,2025-05-21,5103.59,41,2025-03-18,银卡会员
C1080,用户16827,深圳,2025-04-03,19466.82,16,2025-06-12,钻石会员
C1081,用户11974,广州,2025-03-25,15898.09,38,2025-01-31,钻石会员
C1082,用户11170,北京,2025-03-04,11642.49,45,2025-05-02,银卡会员
C1083,用户21728,深圳,2025-04-06,3196.08,6,2025-06-25,金卡会员
C1084,用户17871,北京,2025-06-10,7142.58,10,2025-06-29,普通会员
C1085,用户73942,深圳,2025-02-02,6368.95,36,2025-06-15,金卡会员
C1086,用户35292,北京,2025-04-23,13800.54,23,2025-02-04,金卡会员
C1087,用户73609,南京,2025-01-11,11202.54,35,2025-06-28,钻石会员
C1088,用户84278,广州,2025-02-18,10895.23,21,2025-04-30,金卡会员
C1089,用户82682,广州,2025-06-03,1424.09,10,2025-04-26,金卡会员
C1090,用户80989,成都,2025-03-09,9108.88,50,2025-06-13,钻石会员
C1091,用户12453,重庆,2025-02-17,17143.74,50,2025-06-08,银卡会员
C1092,用户18302,苏州,2025-03-24,16390.04,13,2025-05-15,钻石会员
C1093,用户30202,重庆,2025-05-22,5698.43,27,2025-06-14,金卡会员
C1094,用户22616,苏州,2025-01-29,13194.88,3,2025-02-03,银卡会员
C1095,用户36486,上海,2025-01-09,9733.14,7,2025-01-09,钻石会员
C1096,用户74213,苏州,2025-06-18,12498.21,38,2025-03-07,普通会员
C1097,用户38930,重庆,2025-04-04,14371.01,1,2025-02-23,钻石会员
C1098,用户71349,北京,2025-01-21,7250.47,48,2025-04-17,金卡会员
C1099,用户90862,杭州,2025-01-15,10603.97,47,2025-01-19,金卡会员
C1100,用户38298,苏州,2025-01-20,1987.53,47,2025-03-01,钻石会员
C1101,用户35312,苏州,2025-02-18,13154.69,37,2025-06-10,银卡会员
C1102,用户83156,武汉,2025-05-23,14934.86,50,2025-06-13,金卡会员
C1103,用户70125,武汉,2025-06-22,17662.34,11,2025-02-16,钻石会员
C1104,用户54238,广州,2025-05-10,10701.31,39,2025-04-24,金卡会员
C1105,用户82100,成都,2025-03-22,16904.84,27,2025-06-12,钻石会员
C1106,用户89745,深圳,2025-03-24,11284.74,14,2025-04-07,金卡会员
C1107,用户69297,南京,2025-04-03,19198.5,1,2025-01-09,金卡会员
C1108,用户12136,苏州,2025-06-02,2744.96,57,2025-03-19,普通会员
C1109,用户39083,深圳,2025-03-18,17121.62,2,2025-06-26,金卡会员
C1110,用户77013,苏州,2025-05-22,11434.83,37,2025-02-09,普通会员
C1111,用户70341,成都,2025-01-10,3164.34,17,2025-04-04,银卡会员
C1112,用户43586,杭州,2025-03-01,1883.51,26,2025-05-26,银卡会员
C1113,用户52558,南京,2025-01-20,3499.4,53,2025-06-26,普通会员
C1114,用户94181,杭州,2025-06-02,795.56,52,2025-05-28,钻石会员
C1115,用户17329,成都,2025-01-21,6991.21,53,2025-04-22,钻石会员
C1116,用户39716,重庆,2025-01-31,18576.63,41,2025-06-11,钻石会员
C1117,用户49948,苏州,2025-01-14,871.59,35,2025-05-25,银卡会员
C1118,用户75850,深圳,2025-03-25,3106.29,44,2025-04-11,钻石会员
C1119,用户85399,苏州,2025-06-02,1847.15,28,2025-03-16,钻石会员
C1120,用户27326,成都,2025-02-07,1696.77,37,2025-01-13,钻石会员
C1121,用户21151,武汉,2025-03-09,10061.37,50,2025-06-28,银卡会员
C1122,用户73035,苏州,2025-02-04,4002.27,26,2025-06-16,银卡会员
C1123,用户90739,苏州,2025-05-24,4962.6,5,2025-03-10,钻石会员
C1124,用户99749,重庆,2025-03-24,1837.41,43,2025-04-16,钻石会员
C1125,用户55653,深圳,2025-04-04,6448.73,39,2025-06-17,普通会员
C1126,用户32184,成都,2025-03-20,12343.61,52,2025-04-24,银卡会员
C1127,用户15882,深圳,2025-04-23,4033.72,24,2025-02-09,普通会员
C1128,用户17148,深圳,2025-01-29,18981.37,60,2025-02-07,金卡会员
C1129,用户54993,上海,2025-01-04,6137.11,31,2025-01-06,金卡会员
C1130,用户80517,深圳,2025-02-23,4115.84,34,2025-03-08,钻石会员
C1131,用户28526,北京,2025-06-09,7563.3,58,2025-06-19,普通会员
C1132,用户32324,北京,2025-03-07,5716.07,51,2025-06-28,金卡会员
C1133,用户70943,北京,2025-01-14,1378.63,43,2025-03-11,金卡会员
C1134,用户12500,杭州,2025-01-28,17354.84,42,2025-04-09,银卡会员
C1135,用户76655,上海,2025-04-08,18082.25,32,2025-06-02,普通会员
C1136,用户36066,苏州,2025-02-17,19337.49,36,2025-01-06,普通会员
C1137,用户79391,杭州,2025-03-05,6704.71,26,2025-02-10,普通会员
C1138,用户99694,成都,2025-03-30,7139.79,20,2025-03-02,金卡会员
C1139,用户92023,杭州,2025-01-16,17579.61,57,2025-01-08,金卡会员
C1140,用户29884,成都,2025-02-27,17948.65,43,2025-02-05,普通会员
C1141,用户78251,重庆,2025-04-08,17460.39,44,2025-02-28,钻石会员
C1142,用户85090,广州,2025-03-03,8557.98,20,2025-06-04,金卡会员
C1143,用户81071,广州,2025-04-25,4174.81,9,2025-05-29,银卡会员
C1144,用户50501,苏州,2025-02-05,18195.78,28,2025-02-07,银卡会员
C1145,用户18888,苏州,2025-03-23,10682.58,47,2025-01-31,银卡会员
C1146,用户29073,北京,2025-03-23,15320.43,57,2025-04-16,钻石会员
C1147,用户68065,杭州,2025-03-19,3081.54,13,2025-01-28,银卡会员
C1148,用户13433,重庆,2025-02-17,12358.08,39,2025-05-26,银卡会员
C1149,用户40432,深圳,2025-06-02,13763.19,23,2025-01-21,钻石会员
C1150,用户75840,重庆,2025-02-04,9401.83,42,2025-04-06,银卡会员
C1151,用户74414,南京,2025-04-10,2793.38,13,2025-02-27,普通会员
C1152,用户11967,杭州,2025-04-15,19006.45,15,2025-06-21,银卡会员
C1153,用户18668,广州,2025-02-22,18545.71,29,2025-06-07,钻石会员
C1154,用户52584,南京,2025-06-26,17757.36,28,2025-04-14,普通会员
C1155,用户59856,成都,2025-06-05,7913.31,48,2025-05-27,普通会员
C1156,用户24328,南京,2025-05-14,9165.16,57,2025-01-11,银卡会员
C1157,用户80499,武汉,2025-05-13,19677.42,3,2025-05-23,钻石会员
C1158,用户92660,北京,2025-05-13,3837.51,29,2025-04-12,金卡会员
C1159,用户70469,广州,2025-03-15,8478.12,40,2025-01-14,银卡会员
C1160,用户94685,南京,2025-04-29,1854.29,33,2025-01-29,银卡会员
C1161,用户81618,广州,2025-05-30,7891.68,21,2025-04-26,普通会员
C1162,用户69464,重庆,2025-02-15,17937.52,58,2025-02-21,钻石会员
C1163,用户42778,成都,2025-01-24,13849.76,59,2025-02-11,普通会员
C1164,用户24963,南京,2025-01-24,12699.74,6,2025-05-15,钻石会员
C1165,用户90225,广州,2025-05-11,7604.64,25,2025-01-12,银卡会员
C1166,用户84120,广州,2025-03-27,3284.38,10,2025-02-15,普通会员
C1167,用户50378,杭州,2025-04-18,14616.73,29,2025-03-15,银卡会员
C1168,用户27245,深圳,2025-01-31,120.48,49,2025-03-06,普通会员
C1169,用户75225,南京,2025-04-28,10892.85,1,2025-06-05,钻石会员
C1170,用户38426,重庆,2025-03-02,13206.44,30,2025-04-15,钻石会员
C1171,用户88802,重庆,2025-01-21,181.13,57,2025-05-21,金卡会员
C1172,用户92396,苏州,2025-06-08,16411.42,14,2025-01-13,银卡会员
C1173,用户17217,成都,2025-02-07,782.58,55,2025-01-09,金卡会员
C1174,用户21495,北京,2025-03-26,2222.31,12,2025-02-11,金卡会员
C1175,用户96628,重庆,2025-06-06,11467.04,36,2025-02-15,钻石会员
C1176,用户57210,北京,2025-05-29,1907.87,20,2025-03-24,金卡会员
C1177,用户18869,武汉,2025-04-08,16874.03,5,2025-03-16,钻石会员
C1178,用户25993,杭州,2025-02-04,6617.71,27,2025-05-15,银卡会员
C1179,用户37400,重庆,2025-06-28,1210.78,37,2025-06-11,普通会员
C1180,用户89269,杭州,2025-05-04,8569.72,55,2025-03-23,金卡会员
C1181,用户85385,重庆,2025-05-15,7109.37,9,2025-06-07,钻石会员
C1182,用户92818,南京,2025-05-14,9875.46,12,2025-06-06,银卡会员
C1183,用户35369,北京,2025-03-16,2408.23,30,2025-06-10,普通会员
C1184,用户90649,武汉,2025-02-23,8310.12,22,2025-03-31,银卡会员
C1185,用户93967,深圳,2025-01-03,13815.84,17,2025-01-18,金卡会员
C1186,用户76412,苏州,2025-03-18,6512.28,1,2025-01-30,金卡会员
C1187,用户61910,重庆,2025-03-29,12339.07,2,2025-02-14,银卡会员
C1188,用户54294,南京,2025-03-26,18327.45,52,2025-01-10,银卡会员
C1189,用户30366,南京,2025-05-04,17846.56,35,2025-03-27,钻石会员
C1190,用户17342,苏州,2025-04-16,6021.91,47,2025-06-23,金卡会员
C1191,用户80239,北京,2025-05-23,4204.84,44,2025-03-26,金卡会员
C1192,用户29569,杭州,2025-01-17,16822.75,22,2025-04-07,银卡会员
C1193,用户89388,武汉,2025-05-27,3788.21,8,2025-03-20,金卡会员
C1194,用户45585,武汉,2025-01-09,1781.62,57,2025-03-02,金卡会员
C1195,用户49666,深圳,2025-04-26,10525.75,12,2025-01-29,金卡会员
C1196,用户36489,上海,2025-01-10,8903.29,2,2025-05-04,银卡会员
C1197,用户54579,南京,2025-02-18,14662.2,34,2025-03-21,金卡会员
C1198,用户22878,苏州,2025-02-06,13550.51,9,2025-02-22,普通会员
C1199,用户60801,苏州,2025-04-28,2360.93,20,2025-01-12,普通会员
C1200,用户71194,北京,2025-03-27,2106.9,50,2025-06-18,金卡会员
C1201,用户85701,杭州,2025-01-06,12795.07,14,2025-03-24,银卡会员
C1202,用户47560,杭州,2025-02-19,10668.9,50,2025-04-23,普通会员
C1203,用户29571,广州,2025-03-11,5509.06,1,2025-06-09,普通会员
C1204,用户81110,成都,2025-02-22,11009.84,18,2025-02-06,金卡会员
C1205,用户42089,广州,2025-05-27,1471.3,40,2025-03-28,钻石会员
C1206,用户27049,北京,2025-01-13,9441.17,44,2025-01-13,普通会员
C1207,用户17051,上海,2025-04-09,8557.99,12,2025-06-30,钻石会员
C1208,用户56612,杭州,2025-06-07,6680.03,13,2025-06-21,普通会员
C1209,用户84421,广州,2025-04-30,1903.68,52,2025-06-28,钻石会员
C1210,用户69714,杭州,2025-01-25,13705.34,46,2025-04-30,钻石会员
C1211,用户39333,广州,2025-03-01,17228.87,40,2025-03-08,金卡会员
C1212,用户34032,成都,2025-04-11,15786.14,57,2025-03-25,钻石会员
C1213,用户13966,上海,2025-05-05,9532.92,23,2025-05-03,钻石会员
C1214,用户46996,成都,2025-02-13,12108.58,9,2025-05-11,普通会员
C1215,用户24022,成都,2025-04-14,11145.19,5,2025-03-19,钻石会员
C1216,用户87402,武汉,2025-04-13,4809.58,16,2025-05-21,银卡会员
C1217,用户60307,上海,2025-05-04,6847.25,53,2025-06-27,钻石会员
C1218,用户84345,成都,2025-04-22,10913.31,16,2025-02-14,普通会员
C1219,用户73783,上海,2025-05-27,11863.65,30,2025-03-25,普通会员
C1220,用户33091,杭州,2025-04-24,19119.87,5,2025-06-03,普通会员
C1221,用户88172,武汉,2025-06-25,6581.79,42,2025-06-19,普通会员
C1222,用户38522,广州,2025-01-24,17750.87,58,2025-06-12,普通会员
C1223,用户96623,广州,2025-02-07,9086.84,19,2025-04-10,钻石会员
C1224,用户36956,成都,2025-02-20,6029.72,51,2025-06-23,金卡会员
C1225,用户55123,上海,2025-04-22,11675.4,40,2025-05-11,钻石会员
C1226,用户48559,北京,2025-02-02,7416.0,36,2025-01-14,普通会员
C1227,用户83404,成都,2025-06-30,2238.48,19,2025-01-08,银卡会员
C1228,用户87353,武汉,2025-04-21,12523.03,46,2025-04-08,钻石会员
C1229,用户67041,苏州,2025-04-08,4263.76,12,2025-05-02,银卡会员
C1230,用户82800,武汉,2025-02-18,16874.39,24,2025-04-17,银卡会员
C1231,用户97826,广州,2025-03-15,2728.84,5,2025-06-15,普通会员
C1232,用户73792,武汉,2025-02-06,19500.75,9,2025-01-22,银卡会员
C1233,用户64507,南京,2025-06-14,17876.97,45,2025-06-04,钻石会员
C1234,用户33566,南京,2025-06-09,10212.83,36,2025-04-26,钻石会员
C1235,用户39588,广州,2025-04-01,8524.2,1,2025-05-28,钻石会员
C1236,用户75762,杭州,2025-03-02,8246.21,35,2025-05-28,金卡会员
C1237,用户14963,重庆,2025-01-09,9691.2,24,2025-01-29,钻石会员
C1238,用户20494,广州,2025-06-26,14617.2,34,2025-03-13,钻石会员
C1239,用户20254,苏州,2025-05-13,17803.81,6,2025-03-04,钻石会员
C1240,用户96997,上海,2025-06-11,13697.28,35,2025-05-29,金卡会员
C1241,用户16917,成都,2025-06-06,10723.91,1,2025-05-01,钻石会员
C1242,用户71503,重庆,2025-05-12,14689.6,27,2025-04-01,金卡会员
C1243,用户31955,北京,2025-03-16,13916.27,39,2025-03-19,金卡会员
C1244,用户92483,南京,2025-01-16,11583.91,37,2025-01-14,金卡会员
C1245,用户13578,杭州,2025-06-09,9720.97,9,2025-05-10,普通会员
C1246,用户43036,广州,2025-03-13,12335.17,18,2025-03-07,普通会员
C1247,用户89144,广州,2025-01-29,18207.12,48,2025-02-08,钻石会员
C1248,用户32989,杭州,2025-04-05,15661.43,16,2025-05-05,银卡会员
C1249,用户14337,成都,2025-05-16,19682.23,10,2025-06-02,银卡会员
C1250,用户64125,武汉,2025-05-07,4797.05,29,2025-06-13,银卡会员
C1251,用户85727,成都,2025-02-23,1133.8,17,2025-01-30,普通会员
C1252,用户70819,武汉,2025-02-12,9550.83,31,2025-05-17,银卡会员
C1253,用户99589,武汉,2025-04-08,9518.06,10,2025-05-16,钻石会员
C1254,用户47852,南京,2025-01-04,7670.98,21,2025-05-16,普通会员
C1255,用户79637,成都,2025-01-25,19125.86,28,2025-06-06,金卡会员
C1256,用户45432,杭州,2025-03-27,16056.21,17,2025-06-17,钻石会员
C1257,用户98511,深圳,2025-04-29,14699.55,38,2025-02-19,金卡会员
C1258,用户33582,成都,2025-06-23,10974.87,44,2025-01-03,普通会员
C1259,用户63903,上海,2025-01-04,10529.02,44,2025-04-25,金卡会员
C1260,用户47132,杭州,2025-02-26,3901.94,2,2025-06-08,普通会员
C1261,用户87874,深圳,2025-01-15,19012.25,41,2025-02-01,普通会员
C1262,用户89257,广州,2025-01-23,7550.37,49,2025-06-15,银卡会员
C1263,用户34151,杭州,2025-01-29,5926.64,43,2025-01-20,钻石会员
C1264,用户65965,成都,2025-03-12,5183.87,50,2025-01-19,金卡会员
C1265,用户60174,武汉,2025-01-16,6686.46,4,2025-03-08,金卡会员
C1266,用户67747,上海,2025-02-15,9859.85,60,2025-02-21,钻石会员
C1267,用户94604,南京,2025-02-15,2213.19,35,2025-04-21,银卡会员
C1268,用户94323,上海,2025-06-07,18256.55,46,2025-03-08,普通会员
C1269,用户19557,上海,2025-01-09,11448.32,17,2025-04-25,普通会员
C1270,用户29510,北京,2025-05-08,18661.23,43,2025-04-10,金卡会员
C1271,用户53231,武汉,2025-02-08,11514.07,33,2025-05-06,钻石会员
C1272,用户62941,上海,2025-04-22,10825.57,1,2025-04-09,钻石会员
C1273,用户84349,苏州,2025-02-01,18704.09,23,2025-03-27,金卡会员
C1274,用户17234,上海,2025-04-13,7338.84,55,2025-03-29,普通会员
C1275,用户48005,深圳,2025-04-28,3573.54,3,2025-04-09,银卡会员
C1276,用户61131,上海,2025-03-18,12630.81,23,2025-05-05,普通会员
C1277,用户67407,深圳,2025-06-11,2841.86,13,2025-01-07,银卡会员
C1278,用户60956,上海,2025-05-06,15865.15,42,2025-03-20,钻石会员
C1279,用户68891,北京,2025-05-17,789.0,4,2025-03-28,普通会员
C1280,用户25491,深圳,2025-04-14,16151.72,43,2025-05-14,钻石会员
C1281,用户80328,广州,2025-06-23,14833.98,15,2025-01-19,普通会员
C1282,用户74080,北京,2025-02-06,9450.83,59,2025-06-08,普通会员
C1283,用户95037,广州,2025-03-04,336.59,41,2025-01-13,金卡会员
C1284,用户69793,重庆,2025-01-25,3455.25,38,2025-01-17,普通会员
C1285,用户75161,重庆,2025-01-30,15993.55,15,2025-01-17,银卡会员
C1286,用户54216,武汉,2025-04-20,6518.49,44,2025-05-28,银卡会员
C1287,用户37948,北京,2025-03-24,11882.05,22,2025-01-17,普通会员
C1288,用户28512,武汉,2025-03-12,3402.61,24,2025-05-22,银卡会员
C1289,用户41934,重庆,2025-04-23,861.94,7,2025-06-11,钻石会员
C1290,用户12048,南京,2025-02-10,1660.42,1,2025-02-15,普通会员
C1291,用户95426,重庆,2025-06-30,17743.96,27,2025-06-27,钻石会员
C1292,用户26632,深圳,2025-06-27,2904.6,18,2025-05-14,钻石会员
C1293,用户41359,广州,2025-04-16,12230.23,3,2025-06-02,银卡会员
C1294,用户90222,上海,2025-05-08,12562.47,51,2025-03-19,金卡会员
C1295,用户10599,苏州,2025-04-18,4751.0,8,2025-05-16,普通会员
C1296,用户57435,苏州,2025-06-08,10175.44,30,2025-06-10,银卡会员
C1297,用户16955,深圳,2025-03-12,2297.95,10,2025-06-25,钻石会员
C1298,用户33111,广州,2025-05-08,13419.35,3,2025-01-14,金卡会员
C1299,用户37471,武汉,2025-03-14,5065.07,40,2025-04-27,普通会员
